iter	Passed	Remaining
784	3942182	1079706
785	3946485	1074488
786	3950925	1069310
787	3955412	1064146
788	3959713	1058934
789	3964282	1053796
790	3968827	1048653
791	3973211	1043469
792	3977443	1038248
793	3981804	1033062
794	3986063	1027852
795	3990341	1022650
796	3994846	1017507
797	3999113	1012306
798	4003258	1007077
799	4007709	1001927
800	4012718	996917
801	4016920	991708
802	4022094	986740
803	4026309	981538
804	4031894	976670
805	4037044	971695
806	4042023	966679
807	4047257	961724
808	4051583	956554
809	4055801	951360
810	4060357	946248
811	4064750	941099
812	4068989	935917
813	4073594	930821
814	4078090	925701
815	4082946	920664
816	4087102	915470
817	4091456	910323
818	4095716	905158
819	4100083	900018
820	4104560	894904
821	4108992	889781
822	4113362	884647
823	4117671	879502
824	4122200	874406
825	4126310	869222
826	4130650	864090
827	4134856	858931
828	4139258	853815
829	4143499	848668
830	4148096	843595
831	4152391	838463
832	4156913	833378
833	4161509	828309
834	4165959	823213
835	4170300	818097
836	4174776	813008
837	4179181	807908
838	4183826	802855
839	4188006	797715
840	4192442	792625
841	4196533	787472
842	4200991	782391
843	4205588	777336
844	4209927	772235
845	4214378	767156
846	4218983	762106
847	4224003	757132
848	4228367	752041
849	4233177	747031
850	4237852	741997
851	4242014	736875
852	4246190	731758
853	4250796	726716
854	4255409	721677
855	4259682	716582
856	4264131	711517
857	4268801	706491
858	4273118	701408
859	4277277	696301
860	4281712	691240
861	4286732	686275
862	4291223	681225
863	4295533	676148
864	4299752	671059
865	4303920	665964
866	4308085	660871
867	4312551	655825
868	4317469	650849
869	4321927	645805
870	4326673	640804
871	4330917	635731
872	4335066	630645
873	4339282	625571
874	4343606	620515
875	4347922	615459
876	4352565	610451
877	4357419	605472
878	4361625	600405
879	4365882	595347
880	4370208	590300
881	4375130	585334
882	4379786	580334
883	4384165	575297
884	4388497	570256
885	4392962	565234
886	4397199	560184
887	4401522	555147
888	4406115	550144
889	4410337	545097
890	4414612	540059
891	4419181	535057
892	4423933	530079
893	4428603	525091
894	4433025	520075
895	4437101	515020
896	4441408	509994
897	4445642	504961
898	4450209	499967
899	4454693	494965
900	4459024	489948
901	4463207	484916
902	4467312	479877
903	4471689	474869
904	4476045	469861
905	4480474	464861
906	4484839	459856
907	4489376	454870
908	4494363	449930
909	4498646	444921
910	4503047	439924
911	4507429	434927
912	4511531	429904
913	4515849	424904
914	4520131	419902
915	4525089	414964
916	4529293	409957
917	4533649	404966
918	4538013	399977
919	4542266	394979
920	4546885	390015
921	4551226	385027
922	4555483	380034
923	4560194	375080
924	4565023	370137
925	4569378	365155
926	4573667	360170
927	4577764	355171
928	4581914	350178
929	4586120	345191
930	4590404	340212
931	4595319	335280
932	4599688	330309
933	4603887	325328
934	4608139	320351
935	4612278	315369
936	4616554	310397
937	4620995	305438
938	4625297	300471
939	4629875	295523
940	4634750	290595
941	4638971	285626
942	4643620	280685
943	4647792	275716
944	4651937	270747
945	4656194	265786
946	4660467	260828
947	4665086	255890
948	4669403	250937
949	4673658	245982
950	4677864	241025
951	4682060	236070
952	4686480	231127
953	4690709	226176
954	4694946	221227
955	4699706	216304
956	4704405	211378
957	4709146	206455
958	4713412	201511
959	4718193	196591
960	4722502	191652
961	4726825	186714
962	4731289	181783
963	4735802	176855
964	4740177	171923
965	4744692	166997
966	4748870	162060
967	4753032	157125
968	4757479	152200
969	4761741	147270
970	4766614	142360
971	4771121	137439
972	4775701	132522
973	4781927	127648
974	4786269	122724
975	4790313	117794
976	4794707	112874
977	4799193	107957
978	4803393	103034
979	4808156	98125
980	4814059	93238
981	4818597	88324
982	4822518	83400
983	4826291	78476
984	4830398	73559
985	4835568	68659
986	4840466	63754
987	4845085	58847
988	4848552	53927
989	4852492	49015
990	4857289	44112
991	4861138	39202
992	4865048	34295
993	4869821	29395
994	4875245	24498
995	4879981	19598
996	4884568	14697
997	4888372	9796
998	4892261	4897
999	4896211	0
